case_name,SCP_Response,Remaining,Completed,Failed
UN.1.2.410.200049.2.473513877067430.3.1.20220915090911029.2914, 1 - 0xFF00 (Pending), 7, 1, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915091235520.2917, 2 - 0xFF00 (Pending), 6, 2, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915092108639.2918, 3 - 0xFF00 (Pending), 5, 3, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915092408867.2919, 4 - 0xFF00 (Pending), 4, 4, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915092745498.2920, 5 - 0xFF00 (Pending), 3, 5, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915093316403.2921, 6 - 0xFF00 (Pending), 2, 6, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915093653032.2922, 7 - 0xFF00 (Pending), 1, 7, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915093844952.2924, 8 - 0xFF00 (Pending), 0, 8, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915090911029.2914, 1 - 0xFF00 (Pending), 7, 1, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915091235520.2917, 2 - 0xFF00 (Pending), 6, 2, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915092108639.2918, 3 - 0xFF00 (Pending), 5, 3, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915092408867.2919, 4 - 0xFF00 (Pending), 4, 4, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915092745498.2920, 5 - 0xFF00 (Pending), 3, 5, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915093316403.2921, 6 - 0xFF00 (Pending), 2, 6, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915093653032.2922, 7 - 0xFF00 (Pending), 1, 7, 0
UN.1.2.410.200049.2.473513877067430.3.1.20220915093844952.2924, 8 - 0xFF00 (Pending), 0, 8, 0
